project_name,maturity,tag,accepted_date,sandbox_date,incubating_date,graduated_date,archived_date,num_security_audits,last_security_audit_date
cobaltcore,incubation,,2025-11-13,2025-11-13,,,,0,
garden linux,impact,,2025-11-13,2025-11-13,,,,0,
gardener,impact,,2025-11-13,2025-11-13,,,,0,
greenhouse,incubation,,2025-11-13,2025-11-13,,,,0,
ironcore,growth,,2025-11-13,2025-11-13,,,,0,
katalis,incubation,,2025-11-13,2025-11-13,,,,0,
luigi,incubation,,2025-11-13,2025-11-13,,,,0,
open component model,growth,,2025-11-13,2025-11-13,,,,0,
open managed control plane,incubation,,2025-11-13,2025-11-13,,,,0,
open micro frontend platform,incubation,,2025-11-13,2025-11-13,,,,0,
open resource discovery,incubation,,2025-11-13,2025-11-13,,,,0,
platform mesh,incubation,,2025-11-13,2025-11-13,,,,0,
